pid,category,name,base_price,price,unit_price,arrival,rating,reward,url
166996432,food,"곰곰 소중한 우리쌀 2023년(햅쌀), 10kg(상등급), 1개","42,800","27,790",(100g당 278원),내일(화) 도착 보장,(443312),"최대 1,340원 적립",coupang_img\166996432.jpg
6795965704,food,"하림 닭가슴살 블랙페퍼 8개입, 800g, 1개","16,230","15,800","(100g당 1,975원)",내일(화) 새벽 도착 보장,(30400),최대 710원 적립,coupang_img\6795965704.jpg
6667212785,food,"네오그레인 저당지수 혼합잡곡 식습관개선 균형체질용, 2kg, 1개","21,750","15,980",(100g당 799원),내일(화) 도착 보장,(20441),최대 799원 적립,coupang_img\6667212785.jpg
5071892418,food,"펩시 제로슈거 콜라, 210ml, 60개","27,890","27,500",(100ml당 218원),내일(화) 도착 보장,(189421),"최대 1,375원 적립",coupang_img\5071892418.jpg
7115433425,food,"하이트진로 진로 토닉워터 제로, 600ml, 20개","23,600","19,920",(100ml당 166원),내일(화) 도착 보장,(9742),최대 996원 적립,coupang_img\7115433425.jpg
7426167476,food,"먹태깡 청양마요맛, 60g, 16개","24,100","19,300",(10g당 201원),내일(화) 도착 보장,(6680),최대 965원 적립,coupang_img\7426167476.jpg
5071892418,food,"펩시 콜라 제로슈가 라임향, 355ml, 48개","30,780","29,600",(100ml당 174원),내일(화) 도착 보장,(189421),"최대 1,480원 적립",coupang_img\5071892418.jpg
7735518590,food,"펩시 콜라 제로슈가 라임향, 355ml, 24개","15,480","14,870",(100ml당 175원),내일(화) 새벽 도착 보장,(725),최대 744원 적립,coupang_img\7735518590.jpg
7759919257,food,"오설록 오땡큐 티백 선물 세트 E, 티백 6종 x 5p, 1세트","23,000","22,000","(1세트당 22,000원)",내일(화) 도착 보장,(3534),최대 935원 적립,coupang_img\7759919257.jpg
7792384678,food,"세노비스 마그네슘 90정, 1개","28,000","15,460",(1정당 172원),내일(화) 도착 보장,(9309),최대 773원 적립,coupang_img\7792384678.jpg
1689586494,food,"햇반 매일찰잡곡밥, 210g, 36개","77,760","38,270",(100g당 506원),모레(수) 도착 예정,(39378),"최대 1,914원 적립",coupang_img\1689586494.jpg
1145100301,food,"동원 고추 참치, 85g, 12개","19,900","17,700",(10g당 174원),내일(화) 도착 보장,(91607),최대 885원 적립,coupang_img\1145100301.jpg
4535403908,food,"스팸 클래식, 340g, 10개","75,800","34,800",(10g당 102원),모레(수) 도착 예정,(68946),"최대 1,653원 적립",coupang_img\4535403908.jpg
2278837,food,농심 너구리 얼큰한맛 40개,"38,400","35,320",(1개당 883원),5/30(목) 도착 예정,(154950),"최대 1,766원 적립",coupang_img\2278837.jpg
2287357991,food,"하림 텐더스틱 (냉동), 1200g, 1개","13,800","11,490",(100g당 958원),내일(화) 새벽 도착 보장,(27531),최대 575원 적립,coupang_img\2287357991.jpg
4708084849,food,"매일 멸균우유 오리지널, 200ml, 48개","29,670","28,290",(100ml당 295원),내일(화) 도착 보장,(249963),"최대 1,415원 적립",coupang_img\4708084849.jpg
2042132,food,"동원 라이트 스탠다드 참치, 85g, 12개","22,800","17,480",(10g당 171원),내일(화) 도착 보장,(248432),최대 874원 적립,coupang_img\2042132.jpg
6807918291,food,"그린몬스터 다이어트 스폐셜2 가르시니아900, 112정, 1개","32,000","12,500",(1정당 112원),내일(화) 도착 보장,(32075),최대 619원 적립,coupang_img\6807918291.jpg
2042132,food,"동원 라이트 스탠다드 참치, 150g, 10개","28,000","21,400",(10g당 143원),내일(화) 도착 보장,(248432),"최대 1,070원 적립",coupang_img\2042132.jpg
6135466537,food,"그래놀라하우스 그래놀라 오리지널, 300g, 1개","13,500","12,500",(10g당 417원),내일(화) 새벽 도착 보장,(3894),최대 625원 적립,coupang_img\6135466537.jpg
7492743066,food,"포카리스웨트, 900ml, 20개","30,000","26,220",(100ml당 146원),내일(화) 도착 보장,(134523),"최대 1,311원 적립",coupang_img\7492743066.jpg
7458810098,food,"종근당건강 락토핏 골드, 160g, 3개","85,500","48,200","(10g당 1,004원)",내일(화) 도착 보장,(221241),"최대 2,410원 적립",coupang_img\7458810098.jpg
5625704601,food,"탐사수 무라벨, 2L, 30개","24,950","15,290",(100ml당 25원),내일(화) 도착 보장,(1055232),최대 765원 적립,coupang_img\5625704601.jpg
5625704601,food,"탐사수 무라벨, 2L, 24개","19,960","12,690",(100ml당 26원),내일(화) 도착 보장,(1055232),최대 635원 적립,coupang_img\5625704601.jpg
319152577,food,"칠성사이다, 350ml, 24개","17,390","16,470",(100ml당 196원),내일(화) 도착 보장,(231954),최대 824원 적립,coupang_img\319152577.jpg
